ㄧ,一
1.ㄑㄧˋ2.ㄒㄧㄝˋ,契
ㄎㄨㄟˊ,奎
ㄓㄚ＊ㄔˇ,奓
ㄗㄤˋ,奘
ㄉㄧㄢˋ,奠
ㄠˋ,奧
ㄅㄟˋ,奰
ㄔㄜˇ,奲
1.ㄋㄩˇ2.ㄋㄩˋ＊ㄖㄨˇ,女
ㄈㄟ＊ㄆㄟˋ,妃
1.ㄏㄠˇ2.ㄏㄠˋ,好
ㄊㄚ＊ㄧ,她
ㄖㄨˊ,如
ㄕㄨㄛˋ,妁
ㄈㄤˊ,妨
ㄋㄧㄡ,妞
ㄅㄧˇ,妣
ㄖㄣˋ,妊
ㄐㄧㄣˋ,妗
1.ㄑㄧ2.ㄑㄧˋ,妻
1.ㄨㄟˇ2.ㄨㄟ,委
ㄇㄢˊ,姏
ㄇㄨˇ,姆
ㄉㄚˊ,妲
ㄐㄧㄝˇ,姐
ㄓㄡˊ,妯
ㄧㄤ,姎
ㄕㄢ,姍
ㄕˇ,始
1.ㄋㄞˇ2.ㄋㄧˇ,妳
ㄗˇ＊ㄐㄧㄝˇ,姊
1.ㄐㄧㄠˇ2.ㄒㄧㄠˊ,姣
1.ㄇㄨˇ2.ㄌㄠˇ,姥
ㄔˇ,姼
ㄕㄨ,姝
ㄍㄨㄟˇ,姽
ㄒㄧㄢˇ,姺
ㄏㄨㄛˊ,姡
ㄆㄧㄣ,姘
ㄐㄧ,姬
ㄙㄨㄛ,娑
ㄋㄧㄤˊ,娘
ㄨㄟˇ,娓
1.ㄋㄨㄛˊ2.ㄋㄚˋ,娜
ㄕㄣ,娠
ㄐㄩㄢ,娟
ㄆㄧㄥ,娉
ㄒㄧ,娭
1.ㄨㄢˇ2.ㄇㄧㄢˇ,娩
ㄑㄩˇ,娶
1.ㄌㄡˊ2.ㄌㄩˇ,婁
ㄑㄩㄢˊ,婘
ㄋㄧˊ,婗
ㄅㄧˋ,婢
ㄇㄟˊ,媒
ㄊㄧˊ,媞
ㄖㄨㄛˋ,婼
ㄩㄢˊ,媛
ㄢ,媕
ㄊㄡ＊ㄩˊ,媮
ㄆㄢˊ＊ㄆㄛˊ,媻
ㄇㄧㄥˊ,嫇
ㄇㄚ,媽
1.ㄆㄧㄠˊ2.ㄆㄧㄠ,嫖
ㄇㄢˋ,嫚
ㄖㄠˊ,嬈
ㄒㄧ,嬉
ㄌㄧㄠˊ,嫽
ㄒㄩㄢ＊ㄏㄨㄢˊ,嬛
ㄧㄢˇ,嬐
ㄋㄞˇ,嬭
ㄊㄧㄠˋ,嬥
ㄋㄧㄤˊ,孃
ㄒㄧㄢ,孅
ㄌㄨㄢˊ,孌
ㄌㄧˊ,孋
ㄗˇ,子
ㄐㄩㄝˊ,孓
ㄅㄛˊ,孛
ㄈㄨˊ,孚
ㄇㄥˋ,孟
ㄙㄨㄣ＊ㄒㄩㄣˋ,孫
ㄔㄢˊ,孱
ㄗ,孳
ㄒㄩㄝˊ,學
ㄖㄨˊ,孺
ㄌㄨㄢˊ,孿
ㄊㄚ＊ㄕㄜˊ,它
ㄕㄡˇ,守
ㄓㄞˊ,宅
1.ㄇㄧˋ2.ㄈㄨˊ,宓
1.ㄨㄢˇ2.ㄩㄢ,宛
ㄏㄞˋ＊ㄏㄜˊ,害
1.ㄐㄧㄚ2.ㄍㄨ,家
1.ㄙㄨˋ2.ㄒㄧㄡˋ3.ㄒㄧㄡˇ,宿
ㄐㄧㄣˋ,寖
ㄓˋ,寘
ㄋㄧㄥˋ,
1.ㄋㄧㄥˊ2.ㄋㄧㄥˋ,寧
ㄒㄧㄝˇ,寫
ㄏㄨㄢˊ,寰
1.ㄕㄜˋ2.ㄧㄝˋ3.ㄧˋ,射
1.ㄨㄟˋ2.ㄩˋ,尉
1.ㄐㄧㄤ2.ㄐㄧㄤˋ3.ㄑㄧㄤ,將
ㄒㄩㄣˊ,尋
ㄉㄠˇ,導
1.ㄕㄠˇ2.ㄕㄠˋ,少
1.ㄇㄤˊ2.ㄇㄥˊ＊ㄆㄤˊ,尨
ㄍㄚˋ,尬
ㄍㄢ,尷
1.ㄔˇ2.ㄔㄜˇ,尺
ㄋㄧˊ,尼
ㄋㄧㄠˋ,尿
ㄨㄟˇ,尾
ㄐㄩ,居
ㄑㄩ,屈
1.ㄕˇ2.ㄒㄧ,屎
1.ㄆㄧㄥˊ2.ㄅㄧㄥˇ,屏
ㄊㄨˊ,屠
ㄌㄩˇ,屢
ㄒㄧˇ,屣
ㄘㄥˊ,層
ㄒㄧㄝˋ,屧
ㄌㄩˇ,履
ㄐㄩㄝˊ,屩
1.ㄕㄨˇ2.ㄓㄨˇ,屬
1.ㄊㄨㄣˊ2.ㄓㄨㄣ3.ㄔㄨㄣˊ,屯
ㄔㄚˋ,岔
ㄍㄤ,岡
ㄐㄩ,岨
ㄒㄧㄡˋ,岫
ㄗㄨㄛˊ,岝
ㄍㄡˇ,岣
1.ㄊㄨㄥˊ2.ㄉㄨㄥˋ,峒
ㄨㄟˊ,峞
ㄐㄩㄣˋ,峻
ㄗㄨˊ,崒
ㄐㄩㄝˊ,崛
ㄏㄨㄚˋ,崋
ㄌㄥˊ,崚
ㄑㄧˊ,崎
ㄧㄢ,崦
ㄓㄥ,崢
ㄧㄠˊ,崤
ㄍㄤˇ＊ㄍㄤ,崗
1.ㄑㄧㄢ2.ㄎㄢˇ,嵌
ㄗㄞˇ,崽
ㄐㄧ,嵇
ㄘㄨㄛˊ,嵯
ㄨㄟˊ,嵬
ㄓㄢˇ,嶄
ㄉㄧㄝˊ,嵽
ㄌㄡˇ,嶁
ㄌㄧㄣˊ,嶙
1.ㄍㄨㄟˋ2.ㄐㄩㄝˊ,嶡
ㄐㄧㄠˋ,嶠
ㄐㄧㄠ,嶕
ㄒㄧㄢˇ,嶮
ㄒㄩㄝˊ,嶨
ㄖㄨㄥˊ,嶸
ㄩˇ,嶼
1.ㄧˊ2.ㄋㄧˋ,嶷
ㄐㄧㄝˊ,巀
ㄨ,巫
1.ㄔㄚ2.ㄔㄞ3.ㄘ4.ㄘㄨㄛ,差
ㄒㄩㄣˋ,巽
ㄈㄢˊ,帆
ㄆㄟˋ,帔
ㄈㄨˊ,帗
ㄊㄧㄝˇ＊ㄊㄧㄝ,帖
ㄆㄚˋ,帕
ㄊㄤˇ＊ㄋㄨˊ,帑
ㄕㄨㄞˋ,帥
ㄕㄨㄟˋ,帨
1.ㄐㄧㄢˇ2.ㄘㄢˊ,帴
1.ㄈㄨˊ2.ㄅㄧ,幅
ㄐㄧㄚˋ,幏
ㄇㄧˋ,幎
ㄇㄨˋ＊ㄇㄛˋ,幕
ㄕㄣ,幓
ㄔㄨㄤˊ,幢
ㄓˋ,幟
1.ㄉㄠˋ2.ㄔㄡˊ,幬
ㄇㄥˊ,幪
1.ㄆㄧㄥˊ2.ㄆㄧㄢˊ＊ㄅㄧㄢˋ,平
