ㄧ,一
ㄌㄧˋ,礫
ㄌㄨㄥˊ,礱
ㄕˋ,示
ㄩㄝˋ,礿
ㄓˇ,祉
ㄉㄨㄟˋ,祋
ㄓㄨㄥˋ,祌
1.ㄑㄧˊ2.ㄓˇ,祇
ㄑㄧˊ,祈
ㄗㄨˇ,祖
ㄕㄣˊ,神
1.ㄇㄧˋ2.ㄅㄧˋ,祕
ㄊㄧㄠˊ,祒
ㄈㄨˊ,祓
ㄓㄨˋ,祝
ㄍㄨㄟˇ,祪
ㄆㄧㄠˋ＊ㄆㄧㄠ,票
1.ㄐㄧˋ2.ㄓㄞˋ,祭
1.ㄐㄧㄣˋ2.ㄐㄧㄣ,禁
ㄊㄧˊ,禔
ㄧㄤˊ,禓
ㄩㄥˋ,禜
1.ㄔㄢˊ2.ㄕㄢˋ,禪
ㄒㄧ,禧
ㄍㄨㄟˋ,禬
ㄉㄠˇ,禱
1.ㄋㄧˇ2.ㄇㄧˊ,禰
ㄖㄤˊ,禳
ㄩㄝˋ,禴
ㄖㄡˊ,禸
ㄩˊ,禺
ㄌㄧˊ,离
ㄏㄠˋ,秏
1.ㄇㄧˋ2.ㄅㄧˋ,秘
1.ㄔㄥˋ2.ㄆㄧㄥˊ,秤
ㄆㄧ,秠
ㄧㄤ,秧
ㄐㄧㄚˊ,秸
ㄧˊ,移
ㄕㄨㄟˋ,稅
ㄕㄠ,稍
ㄈㄨ,稃
ㄌㄥˊ,稜
ㄐㄧ,稘
ㄎㄜ,稞
ㄔㄡˊ,稠
ㄅㄧㄥˇ＊ㄌㄧㄣˇ,稟
ㄒㄩ,稰
ㄗㄨㄥ,稯
1.ㄓㄨㄥˇ2.ㄓㄨㄥˋ,種
1.ㄔㄥ2.ㄔㄥˋ,稱
1.ㄐㄧ2.ㄑㄧˇ,稽
ㄓㄣˇ,稹
ㄊㄨㄥˊ,穜
ㄏㄨㄟˋ,穢
ㄏㄨㄛˋ,穫
ㄖㄤˊ,穰
ㄒㄩㄝˋ,穴
ㄐㄧㄡˋ,究
ㄑㄩㄥ,穹
1.ㄎㄨㄥ2.ㄎㄨㄥˋ,空
ㄊㄨˊ,突
ㄧㄠˇ,穾
ㄓㄨㄣ,窀
ㄧㄠˇ,窅
ㄓㄞˇ,窄
ㄌㄧㄠˊ,窌
ㄨㄚ,窊
ㄧㄠˇ,窔
ㄍㄨㄟ,窐
ㄓˋ,窒
ㄊㄧㄠˇ＊ㄧㄠˊ,窕
ㄐㄩㄥˇ,窘
ㄙㄨˋ,窣
ㄧㄣˋ,窨
ㄩˊ,窬
ㄌㄧㄠˋ,窲
ㄊㄧㄢˊ,窴
ㄩˇ,窳
ㄎㄨㄟ,窺
1.ㄐㄩˋ2.ㄌㄡˊ,窶
ㄔㄥ,竀
ㄘㄨㄟˋ,竁
ㄘㄨㄢˋ,竄
ㄌㄧˋ,立
ㄑㄩˇ,竘
ㄐㄩㄣˋ,竣
ㄎㄢˋ,竷
ㄓㄨˊ,竺
ㄍㄢ,竿
ㄍㄤ,笐
ㄅㄚ,笆
ㄆㄧˊ＊ㄅㄧˋ,笓
ㄧㄠˊ,笅
ㄏㄨˋ,笏
ㄓㄠˋ,笊
ㄇㄧㄣˇ,笢
ㄍㄜˇ,笴
ㄉㄚˊ,笪
ㄕㄢ,笘
ㄈㄢˊ,笲
ㄗㄜˊ,笮
ㄌㄧㄥˊ,笭
ㄐㄧㄠˇ,筊
ㄊㄨㄥˇ,筒
ㄙㄨㄣˇ,筍
ㄍㄨㄚ,筈
1.ㄉㄚˊ2.ㄉㄚ,答
ㄌㄤˊ,筤
ㄊㄨㄥˇ,筩
1.ㄐㄧㄚˊ2.ㄘㄜˋ,筴
ㄕㄠ,筲
ㄐㄧㄢˇ,筧
ㄔˊ,箈
ㄅㄛˊ,箔
ㄕㄚˋ,箑
ㄐㄧㄥ,箐
ㄙㄨㄢˋ,算
ㄐㄩㄣˋ,箘
1.ㄆㄞˊ2.ㄅㄟ,箄
ㄓㄨˋ,箸
ㄧˊ,箷
ㄇㄧㄠˇ,篎
ㄅㄧㄢ,箯
ㄩㄝ,箹
ㄔㄨㄟˊ,箠
ㄆㄤˊ,篣
ㄍㄡ,篝
ㄕㄞ,篩
ㄙㄨㄢˇ＊ㄓㄨㄢˋ＊ㄗㄨㄢˇ,篹
ㄅㄧˋ,篦
ㄘㄨˋ,簇
ㄊㄨㄢˊ,篿
ㄘㄜˋ,簎
ㄌㄡˇ,簍
ㄍㄨㄛˊ,簂
ㄘㄣ,篸
ㄗㄠˋ,簉
ㄧˊ,簃
ㄒㄧˇ,簁
ㄉㄤˋ,簜
ㄌㄠˊ,簩
ㄙㄨㄣˇ,簨
ㄈㄨˇ,簠
ㄗㄢ,簪
ㄌㄧㄠˊ,簝
ㄐㄧㄠ,簥
ㄅㄨˋ＊ㄅㄛˊ,簿
1.ㄅㄛˇ2.ㄅㄛˋ,簸
ㄍㄡ,簼
ㄉㄤ,簹
ㄓㄨㄚ,簻
ㄊㄧˋ,籊
ㄐㄧˊ,籍
ㄕㄨˋ,籔
ㄌㄨㄥˊ,籠
ㄐㄧㄢ,籛
ㄑㄩˊ,籧
ㄏㄜˊ,籺
1.ㄋㄩˇ2.ㄓㄨㄤ,籹
ㄘㄨ,粗
ㄋㄧㄢˊ,粘
ㄗ,粢
1.ㄓㄡ2.ㄓㄨˋ3.ㄩˋ,粥
ㄍㄥ,粳
ㄗㄨㄥˋ,粽
ㄖㄡˊ,糅
ㄒㄩˇ,糈
ㄏㄨˊ,糊
ㄇㄧˊ,糜
ㄘㄠ,糙
ㄌㄧˋ,糲
ㄌㄢˋ,糷
ㄇㄧˋ,糸
ㄐㄧㄡ,糾
ㄐㄧˋ,紀
1.ㄏㄨㄥˊ2.ㄍㄨㄥ,紅
ㄩㄝ,約
ㄏㄜˊ,紇
ㄒㄩㄣˊ,紃
ㄕㄨ,紓
ㄆㄧ,紕
ㄈㄡˊ,紑
ㄕㄚ,紗
ㄖㄣˋ,紝
ㄔㄨㄣˊ,純
ㄐㄧㄣ,紟
ㄈㄣ,紛
ㄐㄧㄝˋ,紒
ㄙㄨㄛˇ,索
ㄊㄨㄥˇ,統
ㄕㄠˋ,紹
1.ㄔㄡˊ2.ㄔㄡ,紬
ㄐㄩㄥˇ,絅
ㄔㄨˋ,絀
ㄕ,絁
ㄑㄩˊ,絇
1.ㄓㄣˇ2.ㄊㄧㄢˇ,紾
ㄓㄚˊ,紮
1.ㄌㄟˇ2.ㄌㄟˋ,累
ㄐㄧㄠˇ,絞
ㄍㄞ,絯
ㄅㄥ,絣
ㄘˋ,絘
ㄍㄨㄚˋ,絓
1.ㄐㄧㄝˊ2.ㄐㄧㄝ,結
ㄊㄨㄥˊ,絧
1.ㄌㄨㄛˋ2.ㄌㄠˋ,絡
1.ㄐㄧˇ2.ㄍㄟˇ,給
ㄐㄩㄢˋ,絭
ㄒㄩˋ,絮
ㄒㄧㄝˊ＊ㄐㄧㄝˊ,絜
ㄑㄧㄣ,綅
ㄈㄨˊ,綍
ㄍㄥˇ,綆
ㄒㄧㄠ,綃
ㄐㄩㄢˋ,絹
ㄨㄣˋ,絻
ㄙㄨㄟ,綏
ㄨㄢˇ,綰
ㄌㄧˋ,綟
ㄘㄨㄟˋ,綷
ㄑㄩㄢˇ,綣
ㄊㄢ,緂
ㄓㄨㄟˋ,綴
ㄑㄧ,緁
ㄑㄧ,緀
ㄑㄧㄢˋ,綪
ㄩˋ,緎
1.ㄔㄣ2.ㄌㄧㄣˊ,綝
ㄔㄡˊ,綢
ㄌㄩˋ,綠
1.ㄌㄨㄣˊ2.ㄍㄨㄢ,綸
1.ㄑㄧㄥˋ2.ㄑㄧˇ,綮
ㄑㄧˊ,綦
ㄧㄢˊ,綖
ㄉㄧˋ,締
ㄩㄣˋ,緷
ㄅㄧㄢ,編
ㄍㄥ,緪
ㄇㄧㄣˊ,緡
ㄨㄟˇ,緯
ㄊㄧˊ,緹
ㄑㄧˋ,緝
ㄍㄨㄛ,緺
ㄩㄢˊ,緣
ㄍㄡ,緱
ㄅㄧㄢˋ,緶
ㄊㄡˊ,緰
ㄗㄞˋ,縡
ㄍㄠˇ,縞
ㄈㄨˊ,縛
ㄑㄩㄢˊ,縓
ㄩㄣˋ,縕
ㄓㄣˇ,縝
ㄒㄧㄢˋ,縣
ㄙㄨㄛ,縮
ㄑㄧㄢˋ,縴
ㄓㄨㄢˋ,縳
ㄆㄧㄠˇ,縹
1.ㄇㄡˊ2.ㄇㄧㄠˋ3.ㄇㄧㄡˋ＊ㄇㄨˋ,繆
ㄇㄢˋ,縵
ㄅㄧˋ,縪
ㄇㄨˋ,縸
1.ㄅㄥ2.ㄅㄥˇ3.ㄅㄥˋ,繃
ㄕㄢ,縿
1.ㄈㄥˊ2.ㄈㄥˋ,縫
ㄗㄨㄥˇ,總
1.ㄗㄨㄥˋ2.ㄗㄨㄥ,縱
ㄙㄠ,繅
ㄧ,繄
1.ㄈㄢˊ2.ㄆㄛˊ＊ㄆㄢˊ,繁
ㄧㄠˊ＊ㄧㄡˊ＊ㄓㄡˋ,繇
ㄗㄨㄥ,繌
ㄓ,織
ㄗㄨㄣ,繜
ㄗㄥ,繒
ㄩˋ,繘
ㄙㄨㄟˋ,繐
ㄖㄠˋ,繞
ㄌㄧㄠˊ,繚
ㄈㄢ,繙
ㄉㄢˋ,繵
ㄐㄧㄤ,
ㄕㄥˊ,繩
ㄗㄠˇ＊ㄙㄠ,繰
ㄏㄨㄢˊ,繯
1.ㄐㄧㄠˇ2.ㄓㄨㄛˊ,繳
1.ㄒㄧˋ2.ㄐㄧˋ,繫
ㄖㄨˊ,繻
ㄌㄟˊ,纍
ㄒㄧㄢ,纖
ㄘㄞˊ,纔
ㄒㄧ,纗
ㄉㄠˋ,纛
ㄕˇ,纚
ㄌㄢˇ,纜
ㄒㄧㄤˋ,缿
ㄨㄥˋ,罋
ㄏㄢˇ,罕
ㄈㄨˊ,罘
ㄓㄨˋ,罜
ㄐㄩ,罝
ㄍㄨㄚˋ,罣
ㄐㄩㄢˋ,罥
ㄈㄨˊ,罦
ㄓㄨㄛˊ,罬
ㄍㄨㄚˋ,罫
ㄕㄣˋ,罧
ㄧㄢˇ,罨
1.ㄕㄨˇ2.ㄕㄨˋ,署
1.ㄅㄚˋ2.ㄆㄧˊ,罷
ㄨㄟˋ,罻
ㄔㄠ,罺
ㄊㄨㄥˊ,罿
ㄗㄥ,罾
ㄧㄤˊ＊ㄒㄧㄤˊ,羊
1.ㄇㄧㄝ2.ㄇㄧˇ,羋
ㄒㄧ＊ㄧˋ,羛
ㄧˊ,羠
1.ㄎㄥ2.ㄑㄧㄤˇ,羥
ㄒㄧㄢˋ,羨
ㄑㄧㄢˊ,羬
ㄩㄢˊ,羱
ㄍㄥ,羹
ㄔㄢˋ,羼
ㄨㄥ,翁
ㄑㄩˊ,翑
ㄌㄧㄠˊ,翏
ㄒㄧㄠ＊ㄕㄨˋ,翛
ㄕㄚˋ,翜
1.ㄉㄠˋ2.ㄓㄡ,翢
1.ㄓㄞˊ2.ㄉㄧˊ,翟
ㄗㄨㄥ,翪
ㄏㄡˊ,翭
ㄕˋ,翨
ㄍㄜˊ,翮
ㄏㄢˋ,翰
ㄏㄜˋ,翯
ㄧˋ,翳
ㄆㄧㄠ,翲
1.ㄑㄧㄠˊ2.ㄑㄧㄠˋ,翹
ㄉㄠˋ,翿
ㄧㄠˋ,耀
ㄑㄧˊ,耆
ㄦˊ,而
ㄋㄞˋ,耐
1.ㄦˊ2.ㄋㄞˋ,耏
ㄉㄨㄢ＊ㄓㄨㄢ,耑
ㄌㄟˇ,耒
ㄍㄥ,耕
ㄆㄚˊ,耙
ㄏㄠˋ,耗
ㄓㄨˋ＊ㄔㄨˊ,耡
ㄐㄧˊ,耤
ㄌㄡˊ,耬
ㄦˇ,耳
ㄖㄜˊ,耴
ㄉㄧㄥˇ,耵
ㄧㄝˊ,耶
ㄉㄢ,耽
ㄉㄢ,聃
ㄆㄧㄥˋ,聘
ㄨㄣˊ,聞
ㄐㄩˋ,聚
ㄠˊ,聱
ㄙㄨㄥˇ,聳
ㄓˊ,職
ㄋㄧㄝˋ,聶
ㄋㄧㄥˊ,聹
1.ㄊㄧㄥ2.ㄊㄧㄥˋ,聽
ㄙˋ,肆
ㄖㄡˋ,肉
ㄌㄜˋ,肋
ㄍㄤ,肛
1.ㄉㄨˋ2.ㄉㄨˇ,肚
ㄍㄜ,肐
ㄒㄧㄠˋ,肖
ㄈㄤˊ,肪
ㄈㄟˋ,肺
ㄓㄨㄣ,肫
ㄒㄧˋ,肸
ㄐㄧㄢ,肩
ㄎㄣˇ,肯
ㄧㄠˊ,肴
ㄒㄧㄢˊ,胘
ㄆㄤˋ＊ㄆㄢˊ,胖
ㄅㄧˋ,胇
ㄑㄩ,胠
ㄅㄚˊ,胈
ㄅㄠ＊ㄆㄠ,胞
1.ㄕㄥ2.ㄒㄧㄥ,胜
ㄗㄨㄛˋ,胙
ㄈㄨˊ＊ㄈㄨ＊ㄈㄨˇ,胕
ㄓㄣ,胗
1.ㄅㄟˋ2.ㄅㄟ,背
ㄢ,胺
ㄍㄞ,胲
ㄎㄨㄚˋ,胯
ㄊㄧㄠˋ,脁
ㄍㄜ,胳
ㄏㄥˊ,胻
ㄇㄞˋ＊ㄇㄛˋ,脈
ㄋㄥˊ,能
ㄐㄧˇ,脊
ㄨㄢˇ,脘
1.ㄈㄨˇ2.ㄆㄨˊ,脯
ㄐㄧㄥˋ,脛
ㄘㄨㄛˇ,脞
1.ㄐㄩㄢ2.ㄗㄨㄟ,脧
ㄨㄢˇ,脕
ㄌㄨㄢˊ,脟
ㄊㄨㄛ,脫
ㄒㄧㄡ,脩
ㄑㄧㄤ,腔
ㄧㄝˋ,腋
ㄓㄨㄟˋ,腏
ㄐㄩ,腒
1.ㄒㄧˊ2.ㄌㄚˋ,腊
ㄤ,腌
ㄈㄟˊ,腓
ㄐㄧㄢˋ,腱
ㄧㄠ,腰
ㄐㄧㄠˇ,腳
ㄓㄨㄢˋ,腞
ㄕㄨˋ,腧
1.ㄅㄤˇ2.ㄆㄤˊ3.ㄆㄤ4.ㄅㄤˋ,膀
ㄅㄛˊ,膊
ㄍㄠ,膏
ㄓㄨㄢ,膞
ㄅㄧㄠ,膘
ㄐㄧㄠ,膠
ㄊㄤˊ,膛
ㄌㄩˊ,膢
ㄇㄛˊ,膜
ㄒㄧㄠ,膮
ㄆㄥˊ,膨
ㄨˇ,膴
ㄈㄣˋ,膹
1.ㄕㄢ2.ㄉㄢˋ,膻
ㄩㄥ,臃
1.ㄙㄠ2.ㄙㄠˋ,臊
ㄋㄨㄥˊ,膿
ㄐㄩㄢˇ,臇
ㄌㄧㄢˇ＊ㄐㄧㄢˇ,臉
ㄅㄧˋ,臂
ㄖㄨˊ,臑
ㄎㄨㄢ,臗
ㄏㄨㄛˋ,臛
ㄌㄨˊ,臚
ㄌㄨㄢˊ,臠
ㄗㄤ,臧
ㄌㄧㄣˊ,臨
1.ㄒㄧㄡˋ2.ㄔㄡˋ,臭
ㄓˋ,臷
ㄐㄧㄡˋ,臼
ㄩˊ,臾
ㄧㄠˇ,舀
ㄔㄨㄥ,舂
ㄒㄧˋ,舄
1.ㄩˇ2.ㄩˋ3.ㄩˊ,與
1.ㄒㄧㄥ2.ㄒㄧㄥˋ,興
ㄒㄧㄣˋ,舋
1.ㄕㄜˋ2.ㄕㄜˇ,舍
ㄊㄢ,舑
ㄔㄨㄢˇ,舛
ㄒㄧㄤ,舡
ㄈㄤˇ,舫
1.ㄅㄢ2.ㄆㄢˊ3.ㄅㄛ,般
ㄐㄧㄚˇ,舺
ㄓㄨˊ,舳
ㄗㄜˊ,舴
ㄑㄩㄥˊ,舼
ㄕㄠ,艄
ㄈㄡˊ,艀
ㄅㄧㄢˋ,艑
ㄇㄠˋ,艒
ㄗㄨㄥ,艐
ㄙㄠ,艘
ㄊㄨㄥˊ,艟
1.ㄍㄣˋ2.ㄍㄣˇ,艮
ㄌㄧㄤˊ,良
1.ㄙㄜˋ2.ㄕㄞˇ,色
ㄈㄨˊ,艴
ㄆㄧㄥ,艵
ㄊㄧㄥ,艼
ㄊㄧㄠˊ,芀
1.ㄑㄧㄡˊ2.ㄐㄧㄠ,艽
1.ㄞˋ2.ㄧˋ,艾
ㄇㄤˊ,芒
ㄩˋ,芋
ㄑㄩㄥ,芎
ㄏㄨˋ,芐
ㄗˋ,芓
ㄕㄠˊ,芍
ㄒㄧㄣ,芯
ㄓㄨˋ,芧
ㄨㄟˇ,芛
ㄩㄣˊ,芸
ㄈㄟˋ＊ㄈㄨˊ,芾
ㄆㄧˊ,芘
ㄈㄡˊ,芣
ㄑㄧˇ,芞
ㄇㄠˋ,芼
ㄧㄠ,芺
ㄨˋ,芴
ㄊㄨㄣˊ,芚
ㄓㄨˋ,苧
ㄌㄧˋ,苙
ㄅㄧˋ,苾
ㄆㄧㄥˊ,苹
ㄈㄨˊ,茀
ㄎㄜ,苛
ㄎㄨˇ,苦
1.ㄑㄧㄝˊ2.ㄐㄧㄚ,茄
1.ㄖㄨㄛˋ2.ㄖㄜˇ,若
ㄇㄠˋ,茂
1.ㄅㄚˊ2.ㄅㄟˋ,茇
ㄐㄩ,苴
ㄕㄢ,苫
ㄑㄧㄡˊ,苬
ㄧˇ,苡
ㄊㄞˊ,苔
ㄩㄢˋ,苑
ㄗㄨㄛˊ,苲
ㄈㄨˊ,苻
ㄇㄠˇ＊ㄇㄠˊ,茆
ㄌㄧㄥˊ,苓
ㄐㄧㄠ,茭
ㄍㄞ,荄
ㄍㄣˋ,茛
ㄧˊ,荑
ㄍㄨㄟ,茥
ㄖㄨㄥˊ,茸
ㄘㄜˋ,茦
ㄔˊ,荎
ㄏㄨㄚ,荂
ㄘㄠˇ,草
ㄗˇ,茈
ㄇㄧㄥˊ,茗
ㄈㄚˊ,茷
ㄏㄠ,茠
1.ㄗ2.ㄘˊ,茲
ㄉㄚˊ,荅
ㄖㄨˊ,茹
1.ㄨㄢˇ2.ㄍㄨㄢˇ3.ㄍㄨㄢ,莞
ㄔㄣˊ,莐
1.ㄕㄚ2.ㄙㄨㄛ,莎
ㄕㄣ＊ㄒㄧㄣ,莘
ㄌㄧㄤˊ,莨
ㄊㄨㄛˋ,莌
ㄐㄩㄣˋ,莙
ㄅㄧˊ,荸
ㄆㄨˊ,莆
ㄧㄡˊ,莤
ㄙㄨㄛ,莏
ㄩㄣˇ,荺
ㄇㄛˋ＊ㄇㄨˋ,莫
ㄌㄧˋ,莉
ㄧㄡˋ,莠
1.ㄏㄜˊ2.ㄏㄜˋ,荷
ㄈㄨˊ＊ㄆㄧㄠˇ,莩
1.ㄊㄨˊ2.ㄕㄨ,荼
ㄇㄤˇ,莽
ㄐㄧㄢ,菅
ㄨㄢˇ,菀
ㄏㄜˊ,菏
ㄐㄩ,菹
ㄅㄛ,菠
ㄆㄨˊ,菩
ㄧㄢ,菸
ㄅㄥˇ,菶
ㄐㄧㄥ,菁
ㄐㄧㄣˇ,菫
ㄗㄡ,菆
1.ㄏㄨㄚˊ2.ㄏㄨㄚ3.ㄏㄨㄚˋ,華
ㄑㄧˊ,萁
ㄒㄧ,菥
ㄅㄚˊ,菝
ㄢ,菴
ㄇㄥˊ,萌
ㄈㄨˊ,菔
ㄈㄟˊ,萉
ㄌㄩˋ,菉
1.ㄈㄟˇ2.ㄈㄟ,菲
1.ㄊㄨˋ2.ㄊㄨˊ,菟
ㄨㄟ,萎
ㄏㄨㄢˊ,萑
ㄅㄧˋ,萆
ㄗ＊ㄗㄞ,菑
1.ㄓㄨˋ2.ㄓㄨㄛˊ3.ㄓㄠˊ4.ㄓㄠ5.˙ㄓㄜ,著
ㄏㄨㄛˊ,萿
1.ㄌㄨㄛˋ2.ㄌㄠˋ3.ㄌㄚˋ,落
1.ㄏㄨㄣ2.ㄒㄩㄣ,葷
ㄅㄧㄢˇ,萹
ㄊㄧㄥˊ,葶
ㄅㄛˊ,葧
ㄈㄥ,葑
ㄕㄣˋ,葚
1.ㄧㄝˋ2.ㄕㄜˋ,葉
ㄓㄣ,葴
ㄑㄧㄥˊ,葝
ㄒㄧㄠ,萷
ㄐㄧㄚ,葭
ㄑㄧˋ,葺
1.ㄍㄜˊ2.ㄍㄜˇ,葛
ㄈㄨˋ,萯
ㄩˇ,萭
ㄅㄠˇ,葆
ㄐㄩㄣˋ,葰
ㄧㄠˋ,葯
ㄆㄨˊ,蒲
ㄇㄥˊ,蒙
ㄇㄧㄥˊ,蓂
ㄙㄨㄛ,蓑
ㄒㄩˋ,蓄
ㄓㄣ,蓁
1.ㄍㄞˋ2.ㄍㄜˇ＊ㄏㄜˊ,蓋
ㄌㄧˋ,蒚
ㄕˊ,蒔
ㄘㄨㄛˋ,蓌
ㄎㄨㄞˇ,蒯
ㄘㄤ,蒼
ㄖㄨˊ,蒘
ㄨㄥˇ,蓊
ㄅㄨˋ,蔀
ㄘㄨˋ,蔟
1.ㄨㄟˋ2.ㄩˋ,蔚
ㄠˊ,蔜
ㄐㄧㄢ,蔪
ㄔㄨㄣˊ,蓴
1.ㄡ2.ㄑㄧㄡ,蓲
ㄋㄧㄢ,蔫
ㄕㄨ,蔬
ㄉㄧˋ,蔕
ㄧㄣˋ,蔭
ㄊㄨㄟ,蓷
ㄓㄨˊ,蓫
1.ㄌㄧㄠˇ2.ㄌㄨˋ,蓼
ㄌㄡˊ,蔞
1.ㄇㄢˋ2.ㄇㄢˊ,蔓
ㄐㄧㄤˇ,蔣
ㄕㄣ,蔘
ㄘㄞˋ,蔡
ㄋㄧㄠˇ,蔦
ㄘㄨㄥ,蔥
ㄉㄧㄠˋ,蓧
1.ㄊㄧㄠ2.ㄒㄧㄡ,蓨
ㄒㄧˇ,蓰
ㄘㄨㄥ,蓯
ㄉㄤˋ,蕩
ㄉㄨㄥˇ,蕫
ㄒㄩㄣˊ,蕁
ㄖㄠˊ,蕘
ㄒㄩㄣˋ,蕈
ㄎㄨㄟˋ,蕢
1.ㄈㄢˊ2.ㄈㄢ,蕃
ㄑㄧㄠˊ,蕎
ㄐㄧㄠ,蕉
ㄐㄩㄝˊ,蕝
ㄒㄧㄤ,薌
1.ㄅㄛˊ2.ㄅㄛˋ,薄
ㄩㄣˋ,薀
ㄎㄠˇ,薧
ㄗ,薋
ㄅㄧˋ,薜
ㄑㄧㄤˊ,薔
ㄓㄢ,薝
ㄒㄧㄝˋ,薢
ㄩˋ,薁
ㄨㄢˋ,薍
ㄏㄨㄟˋ,薈
ㄌㄧㄢˋ,薟
1.ㄐㄧˋ2.ㄑㄧˊ,薺
ㄏㄠˋ,藃
ㄌㄢˊ,藍
ㄘㄨㄥˊ,藂
ㄨㄟˇ,薳
ㄓㄣ,薽
ㄑㄧˊ,藄
1.ㄘㄤˊ2.ㄗㄤˋ,藏
ㄉㄧㄠˋ,藋
ㄎㄨㄟ,藈
ㄒㄩˋ,藇
ㄇㄞˊ,薶
ㄇㄧㄠˇ,藐
1.ㄐㄧㄝˋ2.ㄐㄧˊ,藉
ㄋㄧˇ,薿
ㄨㄟˇ,蘤
ㄈㄢˊ,藩
1.ㄅㄧㄠ2.ㄆㄧㄠˇ,藨
ㄊㄨㄟˊ,藬
ㄙㄡˇ,藪
ㄅㄟ,藣
ㄧㄠˋ,藥
ㄓㄨ＊ㄕㄨˇ,藷
ㄌㄨㄥˊ,蘢
ㄞˇ,藹
ㄏㄨㄛˋ,藿
ㄜˋ,蘁
ㄑㄧˊ,蘄
1.ㄆㄧㄣˊ2.ㄆㄧㄥˊ,蘋
ㄇㄤˊ,蘉
ㄙㄨ,蘇
ㄩㄣˋ,蘊
ㄖㄤˊ,蘘
ㄅㄛˋ＊ㄅㄧˋ,蘗
ㄌㄧㄢˋ,蘞
1.ㄈㄥ2.ㄙㄨㄥ,蘴
ㄏㄨㄚˋ,蘳
ㄎㄨㄟ,蘬
ㄇㄧˊ,蘼
ㄌㄟˋ,蘱
ㄐㄧㄢ,虃
ㄑㄩㄢˇ,虇
ㄌㄟˊ,虆
ㄇㄣˊ,虋
ㄙ,虒
ㄏㄨ,虖
1.ㄔㄨˋ2.ㄔㄨˇ,處
ㄒㄩ,虛
1.ㄏㄠˋ2.ㄏㄠˊ,號
ㄌㄨˇ,虜
ㄕㄨˋ,虪
1.ㄏㄨㄟˇ2.ㄔㄨㄥˊ,虫
ㄉㄧㄥ,虰
ㄏㄢˊ,虷
ㄏㄨㄥˊ,虹
1.ㄏㄨㄟˇ2.ㄏㄨㄟ,虺
ㄏㄤˊ,蚢
ㄅㄤˋ,蚌
ㄩㄢˊ,蚖
ㄑㄧˊ,蚑
ㄆㄧˊ,蚍
ㄏㄨㄟˊ,蚘
ㄏㄠˊ,蚝
ㄈㄣˊ,蚡
ㄍㄨㄥ,蚣
1.ㄘㄢˊ2.ㄊㄧㄢˇ,蚕
1.ㄕㄜˊ2.ㄧˊ,蛇
ㄐㄩˋ,蚷
1.ㄎㄜ2.ㄜˊ,蚵
1.ㄑㄩ2.ㄐㄩ,蛆
ㄧㄡˊ,蚰
ㄖㄢˊ,蚺
ㄓㄢ,蛅
ㄓㄚˋ,蚱
ㄑㄩˊ,蚼
ㄧㄡˇ,蚴
ㄌㄧˋ,蚸
ㄧㄤˊ,蛘
ㄐㄧㄝˊ,蛣
ㄓˋ,蛭
ㄑㄩ,蛐
ㄎㄨㄛˋ,蛞
1.ㄍㄜˊ2.ㄏㄚˊ,蛤
ㄍㄨㄥˇ,蛬
ㄑㄩㄥˊ,蛩
ㄌㄤˊ,蜋
ㄊㄨㄟˋ,蛻
ㄕㄣˋ,蜄
ㄒㄧㄠ,蛸
ㄒㄧㄢˇ,蜆
ㄊㄧㄥˊ,蜓
ㄜˊ＊ㄧˇ,蛾
ㄔㄨˊ,蜍
ㄐㄧˊ,蝍
ㄨㄢ,蜿
ㄉㄨㄣ,蜳
ㄓㄨㄛˊ＊ㄉㄧˋ,蝃
ㄉㄧㄝˊ,蜨
ㄑㄧㄥ,蜻
ㄉㄨㄥ,蝀
ㄩˋ,蜮
1.ㄓㄚˋ2.ㄌㄚˋ,蜡
ㄊㄧㄠˊ,蜩
ㄨㄟˇ,蜲
ㄊㄠˊ,蜪
ㄨㄟˋ,蜼
ㄋㄧˊ,蜺
ㄆㄧˊ,蜱
ㄌㄨㄣˊ,蜦
ㄈㄟˊ,蜰
ㄈㄟˇ＊ㄈㄟ,蜚
ㄉㄨˊ＊ㄉㄞˋ,蝳
ㄅㄧㄢ,蝙
1.ㄑㄧㄡˊ2.ㄐㄧㄡ,蝤
ㄖㄡˊ,蝚
ㄒㄩ,蝑
ㄋㄢˊ,蝻
1.ㄒㄧㄚ2.ㄏㄚˊ,蝦
1.ㄊㄧˊ2.ㄔˊ,蝭
1.ㄒㄧㄝ2.ㄏㄜˊ,蝎
ㄍㄨㄚ,蝸
ㄏㄨㄤˊ,蝗
ㄐㄩˇ,蝺
ㄇㄠˊ,蝥
ㄌㄤˊ,螂
ㄍㄨㄟˇ,蟡
ㄆㄤˊ,螃
1.ㄇㄚˇ2.ㄇㄚˋ,螞
ㄩㄣ,蝹
ㄏㄨㄟˋ,螝
ㄒㄧ,螇
1.ㄧˊ2.ㄙ,螔
1.ㄊㄥˊ2.ㄊㄜˋ,螣
ㄓㄜˋ,蟅
ㄕㄨㄞˋ,蟀
ㄐㄧㄢˋ,螹
ㄆㄧㄠ,螵
ㄉㄧˋ,螮
ㄌㄧㄡˊ,蟉
ㄇㄚˊ,蟆
ㄆㄧˊ,螷
ㄓˊ,蟄
ㄓㄜ,螫
ㄇㄤˇ,蟒
ㄌㄠˊ,蟧
ㄓㄨㄢ,蟤
ㄊㄢˊ,蟫
